situation,xg,time,atime,plyr_name,country,pos,jersey_no,goal_type,x,y,g,t,h,vid,key,st
assisted,0.08,68,,Marcus Rashford,England,M,10,regular,-12.3,8.8,35,2,3,0,0,
assisted,0.41,38,,Christian Pulišić,United States,M,11,regular,2,5.2,36,2,1,0,0,
regular,,60,,Mathew Leckie,Australia,F,,regular,,,37,1,1,0,0,
assisted,0.23,58,,Wahbi Khazri,Tunisia,M,10,regular,2,14.7,38,1,1,0,0,
corner,0.51,47,,Henry Martín,Mexico,F,21,regular,-1.8,2.7,39,2,1,0,0,
free-kick,0.03,52,,Luis Chávez,Mexico,M,24,regular,-2,30.4,39,2,2,0,0,
assisted,0.64,90,5,Salem Al-Dawsari,Saudi Arabia,M,29,regular,-5.1,7.7,39,1,1,0,0,
assisted,0.17,46,,Alexis Mac Allister,Argentina,M,10,regular,-5.5,13.3,40,2,1,0,0,
assisted,0.13,67,,Julián Álvarez,Argentina,F,19,regular,8.1,12.4,40,2,2,0,0,
regular,0.07,4,,Hakim Ziyech,Morocco,M,22,regular,-4.5,29.2,42,2,1,0,0,
assisted,0.28,23,,Youssef En-Nesyri,Morocco,F,15,regular,-15.1,10.7,42,2,2,0,0,
regular,,40,,Nayef Aguerd,Morocco,,,own-goal,,,42,1,1,0,0,
assisted,0.05,48,,Ritsu Doan,Japan,M,42,regular,-19.4,19.1,43,1,1,0,0,
assisted,0.96,51,,Ao Tanaka,Japan,M,4,regular,0.9,1.3,43,1,2,0,0,
assisted,0.53,12,,Álvaro Morata,Spain,F,19,regular,2.4,4.1,43,2,1,0,0,
regular,0.4,58,,Yeltsin Tejeda,Costa Rica,M,17,regular,0.6,4.5,44,1,1,0,0,
assisted,0.14,10,,Serge Gnabry,Germany,M,7,regular,9.4,7.7,44,2,1,0,0,
regular,,70,,Manuel Neuer,Germany,G,,own-goal,,,44,1,2,0,0,
assisted,0.58,73,,Kai Havertz,Germany,M,29,regular,-1.9,11,44,2,2,0,0,
assisted,0.54,85,,Kai Havertz,Germany,M,29,regular,3.2,6.4,44,2,3,0,0,
assisted,0.73,89,,Niclas Füllkrug,Germany,F,14,regular,0,4.1,44,2,4,0,0,
assisted,0.48,5,,Ricardo Horta,Portugal,M,21,regular,-7.5,5.1,45,2,1,0,0,
corner,0.68,27,,Young-Gwon Kim,South Korea,D,19,regular,2.4,3.7,45,1,1,0,0,
fast-break,0.58,90,1,Hee-Chan Hwang,South Korea,F,11,regular,-5.3,10.7,45,1,2,0,0,
regular,0.93,26,,Giorgian De Arrascaeta,Uruguay,M,14,regular,-1.8,2.4,46,2,1,0,0,
assisted,0.06,32,,Giorgian De Arrascaeta,Uruguay,M,14,regular,12.5,9.3,46,2,2,0,0,
assisted,0.12,90,2,Vincent Aboubakar,Cameroon,F,10,regular,-2.2,12.2,47,1,1,0,0,
